Geo Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;indice_lig;res_com;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.532890102323265, 2.290082513840396;"{""coordinates"": [2.290082513840396, 48.532890102323265], ""type"": ""Point""}";101.0;Bouray;Bouray;;;59830.0;Bouray;47905.0;Bouray;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01840;C01727;RER C;C;RER C;SNCF;1.0;0.0;647587.8337000012;6826086.0185;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Bouray
48.78031379547602, 2.312307716888594;"{""coordinates"": [2.312307716888594, 48.78031379547602], ""type"": ""Point""}";102.0;Bourg-la-Reine;Bourg-la-Reine;;;70033.0;Bourg-la-Reine;43097.0;Bourg-la-Reine;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01857;C01743;RER B;B;RER B;RATP;1.0;0.0;649468.2084999979;6853577.9767;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Bourg-la-Reine
48.43449061194127, 2.376672818506991;"{""coordinates"": [2.376672818506991, 48.43449061194127], ""type"": ""Point""}";106.0;Boutigny;Boutigny;;;59565.0;Boutigny;47895.0;Boutigny;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;653894.1827000007;6815094.288199998;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Boutigny
48.75102327419874, 2.21586085735165;"{""coordinates"": [2.21586085735165, 48.75102327419874], ""type"": ""Point""}";73.0;Bièvres;Bièvres;;;63404.0;Bièvres;43091.0;Bièvres;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01840;C01727;RER C;C;RER C;SNCF;1.0;0.0;642349.1489000022;6850387.488600001;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Bièvres
48.79889249915973, 2.328136923064751;"{""coordinates"": [2.328136923064751, 48.79889249915973], ""type"": ""Point""}";22.0;Arcueil-Cachan;Arcueil-Cachan;;;70263.0;Arcueil - Cachan;43067.0;Arcueil - Cachan;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01857;C01743;RER B;B;RER B;RATP;1.0;0.0;650648.8902999982;6855633.624699999;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Arcueil-Cachan
48.58600788987864, 2.2410700809029738;"{""coordinates"": [2.241070080902974, 48.58600788987864], ""type"": ""Point""}";26.0;Arpajon;Arpajon;;;60072.0;Arpajon;43068.0;Arpajon;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01840;C01727;RER C;C;RER C;SNCF;1.0;0.0;644026.1785999984;6832024.336800002;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Arpajon
48.93219600504133, 2.495513142584314;"{""coordinates"": [2.495513142584314, 48.93219600504133], ""type"": ""Point""}";37.0;Aulnay-sous-Bois;Aulnay-sous-Bois;;;72646.0;Aulnay-sous-Bois;43071.0;Aulnay-sous-Bois;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01857;C01743;RER B;B;RER B;SNCF;1.0;1.0;663037.8693000004;6870364.551199999;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Aulnay-sous-Bois
49.0704623625224, 2.1753042099461597;"{""coordinates"": [2.17530420994616, 49.0704623625224], ""type"": ""Point""}";39.0;Auvers-sur-Oise;Auvers-sur-Oise;;;67027.0;Auvers-sur-Oise;47918.0;Auvers-sur-Oise;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01849;C01737;TRAIN H;H;TRAIN H;SNCF;1.0;0.0;639738.4698000029;6885937.758000001;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3544694520ec675b39cbddf7993a4b79;Auvers-sur-Oise
48.88268104574893, 2.854315926463896;"{""coordinates"": [2.854315926463896, 48.88268104574893], ""type"": ""Point""}";215.0;Couilly-Saint-Germain-Quincy;Couilly-Saint-Germain-Quincy;;;68505.0;Couilly - Saint-Germain - Quincy;47327.0;Couilly - Saint-Germain - Quincy;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01844;C01730;TRAIN P;P;TRAIN P;SNCF;1.0;0.0;689315.9710000008;6864750.261100002;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3216a7aca01ab7c67110982329e4a82e;Couilly-Saint-Germain-Quincy
48.53373283305578, 2.0087718138734374;"{""coordinates"": [2.008771813873437, 48.53373283305578], ""type"": ""Point""}";240.0;Dourdan;Dourdan;;;59836.0;Dourdan;43121.0;Dourdan;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01840;C01727;RER C;C;RER C;SNCF;1.0;0.0;626821.1895999983;6826403.409600001;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Dourdan
